"","Date","Pool","Number of Blocks","Percentage of Blocks"
"324",2009-11-29,"Unknown",71,100
"325",2009-11-30,"Unknown",60,100
"326",2009-12-01,"Unknown",75,100
"327",2009-12-02,"Unknown",73,100
"328",2009-12-03,"Unknown",94,100
"329",2009-12-04,"Unknown",88,100
"330",2009-12-05,"Unknown",36,100
"331",2009-12-06,"Unknown",64,100
"332",2009-12-07,"Unknown",103,100
"333",2009-12-08,"Unknown",112,100
"334",2009-12-09,"Unknown",105,100
"335",2009-12-10,"Unknown",96,100
"336",2009-12-11,"Unknown",104,100
"337",2009-12-12,"Unknown",112,100
"338",2009-12-13,"Unknown",110,100
"339",2009-12-14,"Unknown",114,100
"340",2009-12-15,"Unknown",102,100
"341",2009-12-16,"Unknown",110,100
"342",2009-12-17,"Unknown",136,100
"343",2009-12-18,"Unknown",169,100
"344",2009-12-19,"Unknown",225,100
"345",2009-12-20,"Unknown",198,100
"346",2009-12-21,"Unknown",175,100
"347",2009-12-22,"Unknown",175,100
"348",2009-12-23,"Unknown",162,100
"349",2009-12-24,"Unknown",154,100
"350",2009-12-25,"Unknown",154,100
"351",2009-12-26,"Unknown",149,100
"352",2009-12-27,"Unknown",174,100
"353",2009-12-28,"Unknown",167,100
"354",2009-12-29,"Unknown",137,100
"355",2009-12-30,"Unknown",171,100
"356",2009-12-31,"Unknown",141,100
"357",2010-01-01,"Unknown",138,100
"358",2010-01-02,"Unknown",132,100
"359",2010-01-03,"Unknown",126,100
"360",2010-01-04,"Unknown",186,100
"361",2010-01-05,"Unknown",181,100
"362",2010-01-06,"Unknown",198,100
"363",2010-01-07,"Unknown",163,100
"364",2010-01-08,"Unknown",154,100
"365",2010-01-09,"Unknown",153,100
"366",2010-01-10,"Unknown",151,100
"367",2010-01-11,"Unknown",190,100
"368",2010-01-12,"Unknown",159,100
"369",2010-01-13,"Unknown",159,100
"370",2010-01-14,"Unknown",164,100
"371",2010-01-15,"Unknown",143,100
"372",2010-01-16,"Unknown",141,100
"373",2010-01-17,"Unknown",125,100
"374",2010-01-18,"Unknown",131,100
"375",2010-01-19,"Unknown",125,100
"376",2010-01-20,"Unknown",124,100
"377",2010-01-21,"Unknown",158,100
"378",2010-01-22,"Unknown",175,100
"379",2010-01-23,"Unknown",133,100
"380",2010-01-24,"Unknown",160,100
"381",2010-01-25,"Unknown",154,100
"382",2010-01-26,"Unknown",211,100
"383",2010-01-27,"Unknown",195,100
"384",2010-01-28,"Unknown",164,100
"385",2010-01-29,"Unknown",177,100
"386",2010-01-30,"Unknown",197,100
"387",2010-01-31,"Unknown",210,100
"388",2010-02-01,"Unknown",165,100
"389",2010-02-02,"Unknown",184,100
"390",2010-02-03,"Unknown",145,100
"391",2010-02-04,"Unknown",270,100
"392",2010-02-05,"Unknown",229,100
"393",2010-02-06,"Unknown",223,100
"394",2010-02-07,"Unknown",192,100
"395",2010-02-08,"Unknown",217,100
"396",2010-02-09,"Unknown",200,100
"397",2010-02-10,"Unknown",207,100
"398",2010-02-11,"Unknown",168,100
"399",2010-02-12,"Unknown",169,100
"400",2010-02-13,"Unknown",183,100
"401",2010-02-14,"Unknown",232,100
"402",2010-02-15,"Unknown",208,100
"403",2010-02-16,"Unknown",176,100
"404",2010-02-17,"Unknown",195,100
"405",2010-02-18,"Unknown",239,100
"406",2010-02-19,"Unknown",208,100
"407",2010-02-20,"Unknown",192,100
"408",2010-02-21,"Unknown",208,100
"409",2010-02-22,"Unknown",223,100
"410",2010-02-23,"Unknown",260,100
"411",2010-02-24,"Unknown",250,100
"412",2010-02-25,"Unknown",171,100
"413",2010-02-26,"Unknown",154,100
"414",2010-02-27,"Unknown",172,100
"415",2010-02-28,"Unknown",172,100
"416",2010-03-01,"Unknown",156,100
"417",2010-03-02,"Unknown",195,100
"418",2010-03-03,"Unknown",188,100
"419",2010-03-04,"Unknown",152,100
"420",2010-03-05,"Unknown",185,100
"421",2010-03-06,"Unknown",171,100
"422",2010-03-07,"Unknown",177,100
"423",2010-03-08,"Unknown",179,100
"424",2010-03-09,"Unknown",125,100
"425",2010-03-10,"Unknown",146,100
"426",2010-03-11,"Unknown",162,100
"427",2010-03-12,"Unknown",133,100
"428",2010-03-13,"Unknown",121,100
"429",2010-03-14,"Unknown",153,100
"430",2010-03-15,"Unknown",125,100
"431",2010-03-16,"Unknown",135,100
"432",2010-03-17,"Unknown",126,100
"433",2010-03-18,"Unknown",136,100
"434",2010-03-19,"Unknown",140,100
"435",2010-03-20,"Unknown",153,100
"436",2010-03-21,"Unknown",192,100
"437",2010-03-22,"Unknown",183,100
"438",2010-03-23,"Unknown",179,100
"439",2010-03-24,"Unknown",207,100
"440",2010-03-25,"Unknown",171,100
"441",2010-03-26,"Unknown",187,100
"442",2010-03-27,"Unknown",197,100
"443",2010-03-28,"Unknown",178,100
"444",2010-03-29,"Unknown",186,100
"445",2010-03-30,"Unknown",195,100
"446",2010-03-31,"Unknown",215,100
"447",2010-04-01,"Unknown",209,100
"448",2010-04-02,"Unknown",168,100
"449",2010-04-03,"Unknown",156,100
"450",2010-04-04,"Unknown",161,100
"451",2010-04-05,"Unknown",171,100
"452",2010-04-06,"Unknown",153,100
"453",2010-04-07,"Unknown",159,100
"454",2010-04-08,"Unknown",193,100
"455",2010-04-09,"Unknown",183,100
"456",2010-04-10,"Unknown",189,100
"457",2010-04-11,"Unknown",260,100
"458",2010-04-12,"Unknown",223,100
"459",2010-04-13,"Unknown",203,100
"460",2010-04-14,"Unknown",189,100
"461",2010-04-15,"Unknown",180,100
"462",2010-04-16,"Unknown",216,100
"463",2010-04-17,"Unknown",202,100
"464",2010-04-18,"Unknown",221,100
"465",2010-04-19,"Unknown",245,100
